parameter,bin_index,bin_left,bin_right,bin_center,exp_normalized_loglikelihood
param_3,57,0.399,0.4059999999999999,0.40249999999999997,-4819344719.105521
param_3,58,0.4059999999999999,0.413,0.4095,-1699889346.126601
param_3,59,0.413,0.42,0.4165,-2128821942.223646
param_3,60,0.42,0.4269999999999999,0.42349999999999993,-368298000.1727291
param_3,61,0.4269999999999999,0.434,0.43049999999999994,-1796597082.033454
param_3,62,0.434,0.4409999999999999,0.43749999999999994,-2436882846.735738
param_3,63,0.4409999999999999,0.448,0.44449999999999995,-3543438690.254674
param_3,64,0.448,0.455,0.4515,-771327819.3941531
param_3,65,0.455,0.462,0.4585,-2117485165.556484
param_3,66,0.462,0.469,0.4655,-1581398710.261118
param_3,67,0.469,0.4759999999999999,0.4724999999999999,-2434962392.339285
param_3,68,0.4759999999999999,0.483,0.4794999999999999,-307694300.0968199
param_3,69,0.483,0.49,0.4865,-878583156.9815713
param_3,70,0.49,0.4969999999999999,0.49349999999999994,-124793415.0192051
param_3,71,0.4969999999999999,0.504,0.5005,0.0
param_3,72,0.504,0.5109999999999999,0.5075,0.0
param_3,73,0.5109999999999999,0.518,0.5145,0.0
param_3,74,0.518,0.525,0.5215000000000001,0.0
param_3,75,0.525,0.5319999999999999,0.5285,0.0
param_3,76,0.5319999999999999,0.539,0.5355,0.0
param_3,77,0.539,0.5459999999999999,0.5425,0.0
param_3,78,0.5459999999999999,0.5529999999999999,0.5494999999999999,0.0
param_3,79,0.5529999999999999,0.56,0.5565,0.0
param_3,80,0.56,0.567,0.5635,0.0
param_3,81,0.567,0.574,0.5705,0.0
param_3,82,0.574,0.581,0.5774999999999999,0.0
param_3,83,0.581,0.588,0.5845,0.0
param_3,84,0.588,0.595,0.5914999999999999,0.0
param_3,85,0.595,0.602,0.5985,0.0
param_3,86,0.602,0.609,0.6054999999999999,0.0
param_3,87,0.609,0.616,0.6125,0.0
param_3,88,0.616,0.623,0.6194999999999999,0.0
param_3,89,0.623,0.6299999999999999,0.6265,0.0
param_3,90,0.6299999999999999,0.637,0.6335,0.0
param_3,91,0.637,0.6439999999999999,0.6405,0.0
param_3,92,0.6439999999999999,0.6509999999999999,0.6475,0.0
param_3,93,0.6509999999999999,0.6579999999999999,0.6544999999999999,0.0
param_3,94,0.6579999999999999,0.665,0.6615,0.0
param_3,95,0.665,0.6719999999999999,0.6685,0.0
param_3,96,0.6719999999999999,0.6789999999999999,0.6755,0.0
param_3,97,0.6789999999999999,0.6859999999999999,0.6824999999999999,0.0
param_3,98,0.6859999999999999,0.693,0.6895,0.0
param_3,99,0.693,0.7,0.6964999999999999,0.0
param_4,0,0.0,0.03141592653589793,0.015707963267948963,-4353789658.092907
param_4,1,0.03141592653589793,0.06283185307179587,0.047123889803846894,-1344026168.697566
param_4,2,0.06283185307179587,0.09424777960769379,0.07853981633974483,-4475617269.078419
param_4,3,0.09424777960769379,0.1256637061435917,0.10995574287564275,-5139967574.060305
param_4,4,0.1256637061435917,0.1570796326794897,0.14137166941154072,-4826435363.878432
param_4,5,0.1570796326794897,0.1884955592153876,0.17278759594743864,-5814317151.573497
param_4,6,0.1884955592153876,0.2199114857512855,0.20420352248333656,-1692036707.670714
param_4,7,0.2199114857512855,0.2513274122871835,0.2356194490192345,-5957513763.829788
param_4,8,0.2513274122871835,0.2827433388230814,0.26703537555513246,-1361746850.732862
param_4,9,0.2827433388230814,0.3141592653589793,0.2984513020910303,-5142637364.329712
param_4,10,0.3141592653589793,0.3455751918948772,0.32986722862692824,-7475178842.145164
param_4,11,0.3455751918948772,0.3769911184307752,0.36128315516282616,-4118127603.310517
param_4,12,0.3769911184307752,0.4084070449666731,0.39269908169872414,-5856767525.089367
param_4,13,0.4084070449666731,0.439822971502571,0.42411500823462206,-2635919405.681582
param_4,14,0.439822971502571,0.4712388980384689,0.45553093477052,-4250160236.268944
param_4,15,0.4712388980384689,0.5026548245743669,0.48694686130641796,-3911060543.92681
param_4,16,0.5026548245743669,0.5340707511102649,0.5183627878423159,-1994116305.247749
param_4,17,0.5340707511102649,0.5654866776461628,0.5497787143782138,-4133947168.378057
param_4,18,0.5654866776461628,0.5969026041820606,0.5811946409141118,-11923062100.85094
param_4,19,0.5969026041820606,0.6283185307179586,0.6126105674500096,-3275235823.917694
param_4,20,0.6283185307179586,0.6597344572538566,0.6440264939859076,-4584159643.618546
param_4,21,0.6597344572538566,0.6911503837897545,0.6754424205218055,-5352262542.450627
param_4,22,0.6911503837897545,0.7225663103256523,0.7068583470577035,-1466040964.062688
param_4,23,0.7225663103256523,0.7539822368615503,0.7382742735936013,-3520252613.932817
